Animal,Symptoms,Disease
Buffalo,"Incoordination, Paralysis, Eye discharge",Listeriosis
Cow,"Diarrhoea, Bloody diarrhoea, Weakness, Dullness, Weight loss, Loss of appetite",Coccidiosis
Cow,"Bloody diarrhoea, High fever, Dehydration, Sudden death, Loss of appetite, Depression",Rinderpest
Cow,"Foamy saliva, Nasal bleeding, High fever, Depression, Sudden death",Anthrax
Cow,"Eye discharge, Swollen lymph nodes, Reduced milk yield, Lameness, Skin lesions, Nasal discharge, Skin nodules",Lumpy Skin Disease (Lumpy Virus)
Goat,"Drooling, Excess salivation, Fever, Blisters in mouth, Blisters on feet, Hoof lesions",Foot and Mouth Disease
Cow,"Weakness, Pale mucous membranes, Anaemia, Weight loss, Reduced milk yield, Loss of appetite",Fascioliasis
Cow,"Dehydration, Weight loss, Reduced milk yield, Depression, Dullness, Weakness, Diarrhoea, Loss of appetite",Johne’s Disease
Cow,"Recumbency, Incoordination, Reduced movement, Depression",Milk Fever
Cow,"Weakness, Anaemia, Diarrhoea, Weight loss, Dehydration, Loss of appetite, Dullness",Amphistomiasis
Buffalo,"Weight loss, Diarrhoea, Loss of appetite, Depression, Dullness, Bloody diarrhoea, Dehydration",Coccidiosis
Sheep,"Loss of appetite, Dullness, Depression, Bloody diarrhoea, Weight loss",Coccidiosis
Sheep,"Infertility, Abortion, Stillbirth",Brucellosis
Cow,"Infertility, Swollen joints, Stillbirth, Abortion, Weakness",Brucellosis
Buffalo,"Abortion, Stillbirth, Depression, Infertility, Fever",Brucellosis
Sheep,"Depression, High fever, Lameness, Difficulty breathing, Jaw swelling, Facial swelling",Blue Tongue
Sheep,"Weakness, Nasal bleeding, Depression, Rapid breathing, Sudden fever, Sudden death, High fever, Foamy saliva",Anthrax
Buffalo,"Dehydration, Bloody diarrhoea, Diarrhoea, Nasal discharge, Sudden death",Rinderpest
Goat,"Loss of appetite, Stillbirth, Reduced fertility, Abortion",Campylobacter Abortion
Sheep,"Abortion, Stillbirth, Reduced fertility, Fever, Infertility, Depression",Campylobacter Abortion
Cow,"Hair loss, Itching, Weight loss, Depression, Skin lesions",Ringworm
Goat,"Nasal discharge, Cough, Difficulty breathing, Sneezing, Depression, Fever, Eye discharge",Bovine Rhinotracheitis
Sheep,"Dehydration, Bloat, Convulsions, Depression, Sudden death, Diarrhoea, Abdominal pain, Bloody diarrhoea",Enterotoxaemia
Cow,"Facial swelling, Jaw swelling, Lameness, High fever",Blue Tongue
Sheep,"Nasal discharge, Skin nodules, Swollen lymph nodes, Skin lesions, Eye discharge, Loss of appetite, Fever",Sheep and Goat Pox
Goat,"Incoordination, Recumbency, Convulsions, Reduced movement",Tetanus
Sheep,"Weight loss, Dullness, Weakness, Depression, Dehydration, Bloody diarrhoea",Coccidiosis
Buffalo,"Painful udder, Udder swelling, Abnormal milk",Mastitis
Buffalo,"Abortion, Reduced fertility, Stillbirth, Weakness, Fever",Campylobacter Abortion
Buffalo,"Bloody diarrhoea, Loss of appetite, Sudden death, Diarrhoea, Weakness, Dehydration, High fever",Salmonellosis
Cow,"Excess salivation, Drooling, Blisters on feet, Blisters in mouth",Foot and Mouth Disease
Sheep,"Pale mucous membranes, High fever, Dark urine, Weakness, Anaemia, Yellow urine, Depression",Babesiosis
Cow,"High fever, Sudden death, Rapid breathing, Depression, Facial swelling, Difficulty breathing, Jaw swelling",Haemorrhagic Septicaemia
Sheep,"Sudden death, Dehydration, Convulsions, Bloody diarrhoea, Depression, Bloat, Abdominal pain, Diarrhoea",Enterotoxaemia
Buffalo,"Restlessness, Weight loss, Skin lesions, Hair loss, Skin nodules, Scratching, Itching",Mange
